,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,LP002529,0.0,1.0,2,Graduate,No,6700,1750.0,230.0,300.0,1.0,Semiurban,1
1,LP001385,0.0,0.0,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,1
2,LP001926,0.0,1.0,0,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural,1
3,LP001144,0.0,1.0,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,1
5,LP001367,0.0,1.0,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,1
6,LP002368,0.0,1.0,2,Graduate,No,5935,0.0,133.0,360.0,1.0,Semiurban,1
7,LP001228,0.0,0.0,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,0
9,LP002219,0.0,1.0,3+,Graduate,No,8750,4996.0,130.0,360.0,1.0,Rural,1
11,LP001198,0.0,1.0,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,1
12,LP002862,0.0,1.0,2,Not Graduate,No,6125,1625.0,187.0,480.0,1.0,Semiurban,0
13,LP001529,0.0,1.0,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,1
14,LP002341,1.0,0.0,1,Graduate,No,2600,0.0,160.0,360.0,1.0,Urban,0
15,LP002813,1.0,1.0,1,Graduate,Yes,19484,0.0,600.0,360.0,1.0,Semiurban,1
16,LP002067,0.0,1.0,1,Graduate,Yes,8666,4983.0,376.0,360.0,0.0,Rural,0
17,LP001608,0.0,1.0,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,1
18,LP001711,0.0,1.0,3+,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,0
19,LP002473,0.0,1.0,0,Graduate,No,8334,0.0,160.0,360.0,1.0,Semiurban,0
20,LP001316,0.0,1.0,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,1
22,LP001790,1.0,0.0,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,1
24,LP001872,0.0,0.0,0,Graduate,Yes,5166,0.0,128.0,360.0,1.0,Semiurban,1
25,LP001430,1.0,0.0,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,1
26,LP001006,0.0,1.0,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1
27,LP001097,0.0,0.0,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,0
28,LP002877,0.0,1.0,1,Graduate,No,1782,2232.0,107.0,360.0,1.0,Rural,1
29,LP001431,1.0,0.0,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,1
30,LP002964,0.0,1.0,2,Not Graduate,No,3987,1411.0,157.0,360.0,1.0,Rural,1
32,LP002158,0.0,1.0,0,Not Graduate,No,3000,1666.0,100.0,480.0,0.0,Urban,0
33,LP001807,0.0,1.0,2,Graduate,Yes,6250,1300.0,108.0,360.0,1.0,Rural,1
34,LP001421,0.0,1.0,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,0
35,LP002739,0.0,1.0,0,Not Graduate,No,2917,536.0,66.0,360.0,1.0,Rural,0
36,LP001008,0.0,0.0,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,1
37,LP001086,0.0,0.0,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,0
38,LP001279,0.0,0.0,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,1
39,LP001758,0.0,1.0,2,Graduate,No,6250,1695.0,210.0,360.0,1.0,Semiurban,1
40,LP001579,0.0,0.0,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,0
41,LP002140,0.0,0.0,0,Graduate,No,8750,4167.0,308.0,360.0,1.0,Rural,0
42,LP001900,0.0,1.0,1,Graduate,No,2750,1842.0,115.0,360.0,1.0,Semiurban,1
43,LP001155,1.0,1.0,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,1
45,LP001482,0.0,1.0,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,1
46,LP002740,0.0,1.0,3+,Graduate,No,6417,0.0,157.0,180.0,1.0,Rural,1
47,LP002053,0.0,1.0,3+,Graduate,No,4342,189.0,124.0,360.0,1.0,Semiurban,1
48,LP001904,0.0,1.0,0,Graduate,No,3103,1300.0,80.0,360.0,1.0,Urban,1
49,LP001535,0.0,0.0,0,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,1
50,LP001248,0.0,0.0,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,1
51,LP001953,0.0,1.0,1,Graduate,No,6875,0.0,200.0,360.0,1.0,Semiurban,1
53,LP002403,0.0,0.0,0,Graduate,Yes,10416,0.0,187.0,360.0,0.0,Urban,0
55,LP001720,0.0,1.0,3+,Not Graduate,No,3850,983.0,100.0,360.0,1.0,Semiurban,1
56,LP001011,0.0,1.0,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1
58,LP001993,1.0,0.0,0,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural,1
59,LP001319,0.0,1.0,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,1
60,LP001531,0.0,0.0,0,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,0
61,LP002585,0.0,1.0,0,Graduate,No,3597,2157.0,119.0,360.0,0.0,Rural,0
62,LP002332,0.0,1.0,0,Not Graduate,No,2253,2033.0,110.0,360.0,1.0,Rural,1
63,LP002493,0.0,0.0,0,Graduate,No,4166,0.0,98.0,360.0,0.0,Semiurban,0
64,LP001532,0.0,1.0,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,0
66,LP002051,0.0,1.0,0,Graduate,No,2400,2167.0,115.0,360.0,1.0,Semiurban,1
67,LP002366,0.0,1.0,0,Graduate,No,2666,4300.0,121.0,360.0,1.0,Rural,1
68,LP001647,0.0,1.0,0,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,1
70,LP001047,0.0,1.0,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,0
72,LP002534,1.0,0.0,0,Not Graduate,No,4350,0.0,154.0,360.0,1.0,Rural,1
73,LP001824,0.0,1.0,1,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,1
75,LP001792,0.0,1.0,1,Graduate,No,3315,0.0,96.0,360.0,1.0,Semiurban,1
76,LP002151,0.0,1.0,1,Graduate,No,3875,0.0,67.0,360.0,1.0,Urban,0
77,LP001379,0.0,1.0,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,0
78,LP002634,1.0,0.0,1,Graduate,No,13262,0.0,40.0,360.0,1.0,Urban,1
82,LP001570,0.0,1.0,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,1
83,LP002126,0.0,1.0,3+,Not Graduate,No,3173,0.0,74.0,360.0,1.0,Semiurban,1
84,LP002035,0.0,1.0,2,Graduate,No,3717,0.0,120.0,360.0,1.0,Semiurban,1
85,LP002453,0.0,0.0,0,Graduate,Yes,7085,0.0,84.0,360.0,1.0,Semiurban,1
86,LP001955,1.0,0.0,0,Graduate,No,5000,2541.0,151.0,480.0,1.0,Rural,0
88,LP002586,1.0,1.0,1,Graduate,No,3326,913.0,105.0,84.0,1.0,Semiurban,1
89,LP002836,0.0,0.0,0,Graduate,No,3333,0.0,70.0,360.0,1.0,Urban,1
90,LP002541,0.0,1.0,0,Graduate,No,10833,0.0,234.0,360.0,1.0,Semiurban,1
92,LP002262,0.0,1.0,3+,Graduate,No,9504,0.0,275.0,360.0,1.0,Rural,1
93,LP002517,0.0,1.0,1,Not Graduate,No,2653,1500.0,113.0,180.0,0.0,Rural,0
94,LP001310,0.0,1.0,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,1
95,LP002345,0.0,1.0,0,Graduate,No,1025,2773.0,112.0,360.0,1.0,Rural,1
96,LP002874,0.0,0.0,0,Graduate,No,3229,2739.0,110.0,360.0,1.0,Urban,1
97,LP002941,0.0,1.0,2,Not Graduate,Yes,6383,1000.0,187.0,360.0,1.0,Rural,0
98,LP001977,0.0,1.0,1,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,1
99,LP001698,0.0,0.0,0,Not Graduate,No,3975,2531.0,55.0,360.0,1.0,Rural,1
100,LP002347,0.0,1.0,0,Graduate,No,3246,1417.0,138.0,360.0,1.0,Semiurban,1
101,LP001688,0.0,1.0,1,Not Graduate,No,3500,1083.0,135.0,360.0,1.0,Urban,1
102,LP002181,0.0,0.0,0,Not Graduate,No,6216,0.0,133.0,360.0,1.0,Rural,0
103,LP001888,1.0,0.0,0,Graduate,No,3237,0.0,30.0,360.0,1.0,Urban,1
104,LP001963,0.0,1.0,1,Graduate,No,2014,2925.0,113.0,360.0,1.0,Urban,0
106,LP002912,0.0,1.0,1,Graduate,No,4283,3000.0,172.0,84.0,1.0,Rural,0
107,LP001776,1.0,0.0,0,Graduate,No,8333,0.0,280.0,360.0,1.0,Semiurban,1
108,LP001488,0.0,1.0,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,0
110,LP001586,0.0,1.0,3+,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,0
111,LP002832,0.0,1.0,2,Graduate,No,8799,0.0,258.0,360.0,0.0,Urban,0
112,LP001439,0.0,1.0,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,1
115,LP002455,0.0,1.0,2,Graduate,No,3859,0.0,96.0,360.0,1.0,Semiurban,1
116,LP002265,0.0,1.0,2,Not Graduate,No,1993,1625.0,113.0,180.0,1.0,Semiurban,1
118,LP001265,1.0,0.0,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,1
120,LP002840,1.0,0.0,0,Graduate,No,2378,0.0,9.0,360.0,1.0,Urban,0
121,LP001616,0.0,1.0,1,Graduate,No,3750,0.0,116.0,360.0,1.0,Semiurban,1
122,LP002637,0.0,0.0,0,Not Graduate,No,3598,1287.0,100.0,360.0,1.0,Rural,0
123,LP002006,1.0,0.0,0,Graduate,No,2507,0.0,56.0,360.0,1.0,Rural,1
124,LP001519,1.0,0.0,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,0
126,LP001334,0.0,1.0,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,1
127,LP002175,0.0,1.0,0,Graduate,No,4750,2333.0,130.0,360.0,1.0,Urban,1
129,LP002716,0.0,0.0,0,Not Graduate,No,6783,0.0,130.0,360.0,1.0,Semiurban,1
130,LP002743,1.0,0.0,0,Graduate,No,2138,0.0,99.0,360.0,0.0,Semiurban,0
131,LP002266,0.0,1.0,2,Graduate,No,3100,1400.0,113.0,360.0,1.0,Urban,1
132,LP001560,0.0,1.0,0,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban,1
133,LP001404,1.0,1.0,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,1
134,LP001318,0.0,1.0,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,1
135,LP002945,0.0,1.0,0,Graduate,Yes,9963,0.0,180.0,360.0,1.0,Rural,1
136,LP001282,0.0,1.0,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,1
137,LP002467,0.0,1.0,0,Graduate,No,3708,2569.0,173.0,360.0,1.0,Urban,0
140,LP001195,0.0,1.0,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,1
142,LP001636,0.0,1.0,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,1
143,LP002484,0.0,1.0,3+,Graduate,No,7740,0.0,128.0,180.0,1.0,Urban,1
144,LP002255,0.0,0.0,3+,Graduate,No,9167,0.0,185.0,360.0,1.0,Rural,1
145,LP001207,0.0,1.0,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,0
147,LP002138,0.0,1.0,0,Graduate,No,2625,6250.0,187.0,360.0,1.0,Rural,1
148,LP002342,0.0,1.0,2,Graduate,Yes,1600,20000.0,239.0,360.0,1.0,Urban,0
150,LP002296,0.0,0.0,0,Not Graduate,No,2755,0.0,65.0,300.0,1.0,Rural,0
151,LP002112,0.0,1.0,2,Graduate,Yes,2500,4600.0,176.0,360.0,1.0,Rural,1
152,LP001098,0.0,1.0,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,1
154,LP002606,1.0,0.0,0,Graduate,No,3159,0.0,100.0,360.0,1.0,Semiurban,1
155,LP002615,0.0,1.0,2,Graduate,No,4865,5624.0,208.0,360.0,1.0,Semiurban,1
157,LP002807,0.0,1.0,2,Not Graduate,No,3675,242.0,108.0,360.0,1.0,Semiurban,1
158,LP001938,0.0,1.0,2,Graduate,No,4400,0.0,127.0,360.0,0.0,Semiurban,0
159,LP002789,0.0,1.0,0,Graduate,No,3593,4266.0,132.0,180.0,0.0,Rural,0
160,LP002734,0.0,1.0,0,Graduate,No,6133,3906.0,324.0,360.0,1.0,Urban,1
161,LP002648,0.0,1.0,0,Graduate,No,2130,6666.0,70.0,180.0,1.0,Semiurban,0
162,LP002931,0.0,1.0,2,Graduate,Yes,6000,0.0,205.0,240.0,1.0,Semiurban,0
163,LP001020,0.0,1.0,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0
164,LP001497,0.0,1.0,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,0
165,LP002723,0.0,0.0,2,Graduate,No,3588,0.0,110.0,360.0,0.0,Rural,0
167,LP001401,0.0,1.0,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,1
168,LP002205,0.0,0.0,1,Graduate,No,3062,1987.0,111.0,180.0,0.0,Urban,0
171,LP001835,0.0,1.0,0,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,0
173,LP001487,0.0,0.0,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,1
174,LP001673,0.0,0.0,0,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,0
175,LP001451,0.0,1.0,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,0
176,LP001677,0.0,0.0,2,Graduate,No,4923,0.0,166.0,360.0,0.0,Semiurban,1
177,LP001994,1.0,0.0,0,Graduate,No,2400,1863.0,104.0,360.0,0.0,Urban,0
178,LP001722,0.0,1.0,0,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,0
179,LP002792,0.0,1.0,1,Graduate,No,5468,1032.0,26.0,360.0,1.0,Semiurban,1
182,LP002337,1.0,0.0,0,Graduate,No,2995,0.0,60.0,360.0,1.0,Urban,1
183,LP002527,0.0,1.0,2,Graduate,Yes,16525,1014.0,150.0,360.0,1.0,Rural,1
184,LP002250,0.0,1.0,0,Graduate,No,5488,0.0,125.0,360.0,1.0,Rural,1
185,LP001066,0.0,1.0,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,1
186,LP001610,0.0,1.0,3+,Graduate,No,5516,11300.0,495.0,360.0,0.0,Semiurban,0
187,LP002917,1.0,0.0,0,Not Graduate,No,2165,0.0,70.0,360.0,1.0,Semiurban,1
189,LP001245,0.0,1.0,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,1
191,LP002288,0.0,1.0,2,Not Graduate,No,2889,0.0,45.0,180.0,0.0,Urban,0
192,LP001798,0.0,1.0,2,Graduate,No,5819,5000.0,120.0,360.0,1.0,Rural,1
193,LP001131,0.0,1.0,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,1
196,LP001844,0.0,0.0,0,Graduate,Yes,16250,0.0,192.0,360.0,0.0,Urban,0
197,LP001197,0.0,1.0,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,0
199,LP001343,0.0,1.0,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,1
200,LP002768,0.0,0.0,0,Not Graduate,No,3358,0.0,80.0,36.0,1.0,Semiurban,0
201,LP001859,0.0,1.0,0,Graduate,No,14683,2100.0,304.0,360.0,1.0,Rural,0
202,LP002398,0.0,0.0,0,Graduate,No,1926,1851.0,50.0,360.0,1.0,Semiurban,1
203,LP002201,0.0,1.0,2,Graduate,Yes,9323,7873.0,380.0,300.0,1.0,Rural,1
204,LP002684,1.0,0.0,0,Not Graduate,No,3400,0.0,95.0,360.0,1.0,Rural,0
205,LP001639,1.0,1.0,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,1
206,LP002097,0.0,0.0,1,Graduate,No,4384,1793.0,117.0,360.0,1.0,Urban,1
208,LP002821,0.0,0.0,0,Not Graduate,Yes,5800,0.0,132.0,360.0,1.0,Semiurban,1
209,LP002086,1.0,1.0,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,0
210,LP002545,0.0,0.0,2,Graduate,No,3547,0.0,80.0,360.0,0.0,Rural,0
211,LP002422,0.0,0.0,1,Graduate,No,37719,0.0,152.0,360.0,1.0,Semiurban,1
